id,club,last_name,first_name,position,base_salary,guaranteed_compensation
1,NE,Albright,Chris,D,176000,176000
2,RSL,Alexandre,Jean,M,34000,34000
3,DC,Allen,Ely,F-M,15300,15300
4,SEA,Alonso,Osvaldo,M,65000,65000
5,NE,Alston,Kevin,D,55000,104000
6,SJ,Alvarez,Arturo,M-F,174750,184087.5
7,SJ,Amarikwa,Quincy,F,34000,34000
8,NY,Angel,Juan Pablo,F,1500000,1798000
9,KC,Arnaud,Davy,M,220000,228750
10,HOU,Ashe,Corey,M,34650,34650
11,TFC,Attakora-Gyan,Nana,D,34000,34000
12,DAL,Avila,Eric,M,70000,103000
13,NE,Badilla,Gabriel,D,138000,138000
14,COL,Ballouchy,Mehdi,M,100000,118000
15,CHI,Banner,Michael,D,34000,34000
16,DC,Barklage,Brandon,M-F,20100,20100
17,NE,Barnes,Darrius,D,34008,34008
18,HOU,Barrett,Wade,D,154000,156500
19,TFC,Barrett,Chad,F,195000,202500
20,COL,Baudet,Julien,D,156000,169750
21,RSL,Beckerman,Kyle,M,160650,163150
22,LA,Beckham,David,M,5500000.08,6500000.04
23,RSL,Beltran,Anthony,D,70000,105500
24,Pool,Benitez,Miguel,GK,34000,34000
25,DAL,Benitez,Jair,D,36000,36000
26,LA,Berhalter,Gregg,D,144000,162750
27,KC,Besler,Matt,D,36000,47250
28,LA,Birchall,Chris,M,84000,97125
29,CHI,Blanco,Cuauhtemoc,M,2769240,2943702
30,RSL,Borchers,Nat,D,130000,137500
31,NY,Borman,Danleigh,D-M,20100,20100
32,CHV,Bornstein,Jonathan,D,90000,90000
33,SEA,Boss,Terry,GK,36000,38500
34,HOU,Boswell,Robert,D,150000,150000
35,LA,Bowen,Tristan,F,65000,96363.63
36,NY,Boyens,Andrew,D,49550,52050
37,CHV,Braun,Justin,F,20100,20100
38,TFC,Brennan,Jim,D,185000,193250
39,SEA,Brown,Evan,D,20100,20100
40,CHI,Brown,C.J.,D,91200,96000
41,CLB,Brunner,Eric,D,34008,34008
42,LA,Buddle,Edson,F,169950,179950
43,DC,Burch,Marc,D,60000,62500
44,SJ,Burling,Bobby,D,34000,34000
45,CLB,Burns,Kevin,M,20100,20100
46,COL,Burpo,Preston,GK,57871.99,57871.99
47,DAL,Burse,Ray,GK,34650,34650
48,CHI,Busch,Jon,GK,135000,136350
49,HOU,Cameron,Geoff,M,34650,34650
50,RSL,Campos,Pablo,F,65000,69846.72
51,SJ,Cannon,Joe,GK,180500,190756.25
52,CHI,Carr,Calen,F,58410,70910
53,DC,Carreiro,Fred,M-F,225000,257000
54,CLB,Carroll,Brian,M,133875,137625
55,COL,Casey,Conor,F,200000,200000
56,NE,Castro,Mauricio,M,120000,126250
57,NY,Celades,Albert,M,100000,125625
58,NY,Cepero,Daniel,GK,34000,34000
59,COL,Ceus,Steward,GK,20100,20100
60,HOU,Chabala,Michael,M,34000,34000
61,DAL,Chavez,Marvin,M,60000,70000
62,CHV,Chijindu,Chukwudi,M,20100,20100
63,HOU,Ching,Brian,F,242550,242550
64,NY,Chirgadze,Giorgi,F,20100,20100
65,COL,Clark,Colin,M,85000,90000
66,HOU,Clark,Ricardo,M,248050,248050
67,HOU,Cochrane,Ryan,D,145000,146250
68,NE,Colaluca,Nico,M,75000,108000
69,CHI,Conde,Wilman,D,168000,188000
70,KC,Conrad,Jimmy,D,213750,225000
71,SJ,Convey,Bobby,M,222000,244500
72,CHV,Conway,Jon,GK,36000,42125
73,SJ,Corrales,Ramiro,M,190000,202500
74,NY,Coundoul,Bouna,GK,123999.96,125249.96
75,RSL,Cox,Raphael,D,20100,20100
76,KC,Cristman,Adam,F,34650,34650
77,TFC,Cronin,Sam,M,36000,84000
78,HOU,Cruz,Danny,M,55000,98000
79,CHV,Cuesta,Yamith,D,36000,36000
80,COL,Cummings,Omar,F,65000,73750
81,DAL,Cunningham,Jeffrey,F,209170,219295
82,CHV,Curtin,Jim,D,109204.2,109204.2
83,COL,Dalby,Greg,M,34650,34650
84,DAL,Davies,Kyle,D,50004,50004
85,HOU,Davis,Brad,M,132300,132300
86,TFC,de Guzman,Julian,M,909600,956350
87,LA,DeLaGarza,AJ,D,36000,36000
88,HOU,Deric,Tyler,GK,20100,20100
89,TFC,DeRosario,Dwayne,M,357000,425750
90,TFC,Dichio,Daniel,F,120000,120000
91,CHI,Dimitrov,Stefan,F,34008,34008
92,DC,DiRaimondo,John,M,20100,20100
93,COL,Diz,Facundo,F,42000,42000
94,LA,Donovan,Landon,F,900000,900000
95,Pool,Dragavon,Ben,GK,34000,34000
96,NE,Dube,Mkhokheli,F,34650,34650
97,LA,Dunivant,Todd,D,109974.38,109974.38
98,CHI,Dykstra,Andrew,GK,34000,34000
99,TFC,Edwards,Brian,GK,39600,48350
100,CLB,Ekpo,Emmanuel,M,125000,147250
101,RSL,El Khalifi,Rachid,M-F,84996,102996
102,CLB,Elenio,Cory,M,20100,20100
103,SJ,Elliot,Simon,M,80640,87315
104,DC,Emilio,Luciano,F,720000,758857.14
105,LA,Eskandarian,Alecko,F,135850,143391.25
106,RSL,Espindola,Fabian,F,42000,42000
107,KC,Espinoza,Roger,M,70000,103750
108,SEA,Evans,Brad,M,44550,44550
109,SEA,Eylander,Chris,GK,45500,45500
110,TFC,Fellinga,Lesly,D,36000,36000
111,DAL,Ferreira,David,M-F,300000,300000
112,RSL,Findley,Robert,F,60060,72560
113,CHV,Flores,Jorge,F,34000,34000
114,LA,Franklin,Sean,D,64350,76850
115,TFC,Frei,Stefan,GK,65000,120000
116,SEA,Fucito,Michael,M,20100,20100
117,TFC,Gala,Gabe,D-M,20100,20100
118,CHV,Galindo,Maykel,F,87725,87725
119,NY,Garcia,Walter Ariel,D,36000,36000
120,HOU,Garcia,Felix,F,65000,99000
121,TFC,Garcia,Nick,D,190000,198750
122,CLB,Garey,Jason,F,52937.5,65437.5
