State,IncRate,DivIndex,Black,Indians,Asian,Hawaiian,Races,Latino,White
AK,75723,0.738867,7.7,21.8,41.4,0.7,3.7,13.5,12.9
AK,75723,0.769346,7.4,13.8,31.1,2.3,4.8,14.6,29.2
AK,75723,0.6015149999999999,6.3,8.1,8.9,2.3,7.8,8.6,60.5
AK,75723,0.315556,0.7,81.8,1.0,0.3,4.1,1.6,11.5
AK,75723,0.648271,0.0,33.8,1.1,0.3,17.5,3.9,45.3
AK,75723,0.25037800000000004,1.3,3.7,1.2,0.1,4.7,3.1,86.3
AK,75723,0.45543,0.4,71.0,0.9,0.2,9.2,2.4,17.7
AK,75723,0.46852299999999997,5.5,7.1,2.9,0.4,6.3,7.7,71.6
AK,75723,0.35363,0.5,9.8,1.0,0.0,7.4,2.7,79.4
AK,75723,0.606696,0.6,39.0,0.7,0.1,10.3,4.5,47.8
AK,75723,0.533985,1.5,11.7,6.1,1.0,9.4,6.2,66.0
AK,75723,0.32394,0.9,7.4,1.3,0.3,5.5,3.8,81.6
AK,75723,0.541652,0.9,14.0,7.4,0.3,9.1,4.9,65.0
AK,75723,0.665746,1.3,13.0,20.3,1.0,6.8,8.4,51.4
AK,75723,0.521401,0.8,64.3,0.4,0.3,9.6,3.3,23.4
AK,75723,0.331951,1.3,6.0,1.3,0.3,6.6,4.5,81.1
AK,75723,0.421728,0.7,73.8,1.3,0.1,6.2,1.8,17.1
AK,75723,0.612887,1.1,52.5,5.1,1.6,5.5,3.4,32.3
AK,75723,0.354752,0.7,79.1,0.8,0.2,6.0,1.5,12.5
AK,75723,0.501683,0.7,16.6,2.7,0.3,8.2,4.7,67.9
AK,75723,0.600004,0.4,40.1,0.7,0.5,8.8,3.1,48.0
AK,75723,0.553092,1.0,16.3,6.1,0.3,9.3,5.8,63.6
AK,75723,0.244653,0.3,4.6,0.7,0.3,3.8,4.2,86.6
AK,75723,0.394359,1.5,11.7,1.2,0.5,4.9,4.9,76.6
AK,75723,0.47473699999999996,0.9,13.4,4.2,0.7,7.1,4.4,70.6
AK,75723,0.14702,0.2,92.2,0.3,0.0,2.5,0.7,4.7
AK,75723,0.45928199999999997,0.4,15.8,1.7,0.0,9.8,1.8,71.1
AK,75723,0.6987479999999999,0.9,36.6,5.6,1.4,15.9,3.1,37.1
AK,75723,0.447209,0.4,70.8,0.3,0.2,5.3,1.7,22.0
AL,47221,0.388898,18.4,0.5,1.1,0.1,1.7,2.7,75.9
